Context,Question,Model Answer,Expected Answer
"Current fees are around 260 euro per year, of which 210 euro are for academic tutoring and the remainder for admin  fees and medical insurance in the event of a school-related accident. For more information, please see the following section: 'Doctoral School > Useful Information > Regulations > Decree on Public Fees'.",What's the total cost per year?,"The total cost per year is around 260 euro per year, of which 210 euro are for academic tutoring and the remainder for admin fees and medical insurance in the event of a school-related accident. For more information, please see the following section: 'Doctoral School > Useful Information > Regulations > Decree on Public Fees'.",The total cost per year is around 260 euro.
"Current fees are around 260 euro per year, of which 210 euro are for academic tutoring and the remainder for admin  fees and medical insurance in the event of a school-related accident. For more information, please see the following section: 'Doctoral School > Useful Information > Regulations > Decree on Public Fees'.",What are admin fees for?,"The administration fees for the doctoral school are set by the Decree on Public Fees. For more information, please see the following section: 'Doctoral School > Useful Information > Regulations > Decree on Public Fees'.",The admin fees are for administrative services and medical insurance in the event of a school-related accident.
"Current fees are around 260 euro per year, of which 210 euro are for academic tutoring and the remainder for admin  fees and medical insurance in the event of a school-related accident. For more information, please see the following section: 'Doctoral School > Useful Information > Regulations > Decree on Public Fees'.",How much for academic tutoring?,The academic tutoring fee is 210 euro per year. The fee is paid in advance and is not refundable,The cost for academic tutoring is 210 euro per year.
"Following information is regarding PhD program of University of Balearic Islands: Current fees are around 260 euro per year, of which 210 euro are for academic tutoring and the remainder for admin  fees and medical insurance in the event of a school-related accident. For more information, please see the following section: 'Doctoral School > Useful Information > Regulations > Decree on Public Fees'.",How much does a PhD cost?,"The cost of a PhD varies depending on the country and the university. The average cost of a PhD in the United States is around $60,000",The cost for the PhD program at the University of Balearic Islands is around 260 euro per year.
"Following information is regarding PhD program of University of Balearic Islands: Current fees are around 260 euro per year, of which 210 euro are for academic tutoring and the remainder for admin  fees and medical insurance in the event of a school-related accident. For more information, please see the following section: 'Doctoral School > Useful Information > Regulations > Decree on Public Fees'.",How much does a PhD cost at University of Balearic Islands?,"The cost of a PhD program at University of Balearic Islands is around 260 euro per year, of which 210 euro are for academic tutoring and the remainder for admin fees and medical insurance in the event of a school-related accident. For more information, please see the following section: 'Doctoral School > Useful Information > Regulations > Decree on Public Fees'.",The cost for a PhD program at the University of Balearic Islands is around 260 euro per year.
"Following information is regarding PhD program of University of Balearic Islands: Current fees are around 260 euro per year, of which 210 euro are for academic tutoring and the remainder for admin  fees and medical insurance in the event of a school-related accident. For more information, please see the following section: 'Doctoral School > Useful Information > Regulations > Decree on Public Fees'.",Any fees for accidents at PhD program of University of Balearic Islands?,"The University of Balearic Islands has a doctoral school, which is a public institution. The doctoral school is a public institution, and therefore, it is not possible to provide information about the fees for accidents at the doctoral school. However, the doctoral school has a doctoral accident insurance, which covers the costs of medical treatment and rehabilitation of students who suffer an accident during their studies.","Yes, in the PhD program of the University of Balearic Islands, a portion of the fees is allocated for medical insurance in the event of a school-related accident. This is included in the remainder of the 260 euro annual fee that is not covered by the 210 euro for academic tutoring."
"In this instance, the originals must be submitted between 1st November and 31st March of the current year. Until original documents are submitted, the CEP is unable to issue any academic certificate for the master's programme, including the final degree certificate. The original and a photocopy must be submitted to the admin services in the Antoni Maria Alcover i Sureda building (Centre for Postgraduate Studies). You must request an appointment to do this step. Where documents are sent by post, a certified copy of each document must be included. The only stamps accepted are those issued by a registered Spanish notary public, a diplomatic service or the issuing body for the document, as long as payment for the certified stamp is accredited.",When do the originals need to be submitted?,"The originals must be submitted between 1st November and 31st March of the current year. Until original documents are submitted, the CEP is unable to issue any academic certificate for the master's programme, including the final degree certificate. The original and a photocopy must be submitted to the admin services in the Antoni Maria Alcover i Sureda building (Centre for Postgraduate Studies). You must request an appointment to do this step. Where documents are sent by post, a certified copy of each document must be included. The only stamps accepted are those issued by a registered Spanish notary public, a diplomatic service or the issuing body for the document, as long as payment for the certified stamp is accredited.",The originals must be submitted between 1st November and 31st March of the current year.
"On a PhD programme at University of Balearic Islands, there are no classes per se, although depending on the programme where you are registered, there may be some face-to-face activities.There may be two types of activities: Cross-cutting: the academic commissions for each PhD programme decide on whether these activities are obligatory or elective for students. They are organised by the Doctoral School and are common to all PhD programmes. For more information, please see the Doctoral School Training Activities. Specific: the academic commissions for each PhD programme decide on whether these activities are obligatory or elective, and whether they are specific to their students. For more information about these activities, please see the PhD studies on offer section. You will need to select your PhD programme and go to the 'Training Activities' section. If you have any academic questions, you may contact the programme coordinator via the contact form in the 'General Information' section for the programme.",Do I need to take face-to-face classes on a PhD programme at University of Balearic Islands?,"Yes, you will need to take face-to-face classes on a PhD programme at University of Balearic Islands. You will need to select your PhD programme and go to the 'Training Activities' section. If you have any academic questions, you may contact the programme coordinator via the contact form in the 'General Information' section for the programme.","No, on a PhD programme at the University of Balearic Islands, there are no classes per se. However, depending on the programme where you are registered, there may be some face-to-face activities. These activities could be either cross-cutting or specific to your programme, and the academic commissions for each PhD programme will decide whether these activities are obligatory or elective for students."
"At University of Balearic Islands Both the thesis tutor and supervisor are assigned by the academic commission. Your pre-registration application must include a summary of your research project and area. You will also need to make your own thesis supervisor proposal, which will be taken into account when assigning your thesis supervisor(s).",How are thesis tutors and supervisors assigned at University of Balearic Islands?,"The thesis tutor and supervisor are assigned by the academic commission. Your pre-registration application must include a summary of your research project and area. You will also need to make your own thesis supervisor proposal, which will be taken into account when assigning your thesis supervisor(s).","At the University of Balearic Islands, both the thesis tutor and supervisor are assigned by the academic commission. While making your pre-registration application, you are required to include a summary of your research project and area. You also have the option to make your own thesis supervisor proposal, which will be taken into account when the academic commission is assigning your thesis supervisor(s)."
At the University of Balearic Islands PhD candidates undertake and produce original research in any field of knowledge: PhD thesis. Doctorands must pass annual assessments throughout their enrolment period (initial and subsequent assessments) that serve to monitor their research.,What does a PhD comprise at the University of Balearic Islands?,The PhD is a research degree awarded by the University of Balearic Islands. It is a four-year degree that is awarded to candidates who have successfully completed a master's degree and have demonstrated a high level of research competence,"At the University of Balearic Islands, a PhD comprises undertaking and producing original research in any field of knowledge, culminating in a PhD thesis. Additionally, PhD candidates must pass annual assessments throughout their enrolment period. These assessments, which include initial and subsequent assessments, serve to monitor the progress of their research."
